#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
6.894492568801389360e-37,9.440296234130746111e-37,7.269331237393097766e-37,5.604466489095432532e-37,1.425102670302996217e+43,3.237179487179487225e+00
3.443863446234963641e-37,4.715516159879551059e-37,3.631098862926814150e-37,2.799483368041407378e-37,2.030917620904730727e+43,3.467692307692307629e+00
1.644982428767679809e-37,2.252395121546484840e-37,1.734416570193292449e-37,1.337190345073073595e-37,2.894266124716740070e+43,3.698205128205128034e+00
7.326401209079305785e-38,1.003168790938681962e-37,7.724721817503330968e-38,5.955560855596313846e-38,4.124626382901331123e+43,3.928717948717948438e+00
2.966901526565315697e-38,4.062435201542417684e-38,3.128205553941162442e-38,2.411765625410228741e-38,5.878016072274875758e+43,4.159230769230768843e+00
1.078874336009723808e-38,1.477250606871498209e-38,1.137530403247743153e-38,8.770065384467855676e-39,8.376776400682855798e+43,4.389743589743589247e+00
3.552550129930733386e-39,4.864335595183063962e-39,3.745694606847621738e-39,2.887833724576751429e-39,1.193776641714445591e+44,4.620256410256409652e+00
1.084611038602939677e-39,1.485105597118656939e-39,1.143578997969450330e-39,8.816698486354212498e-40,1.701254279852599697e+44,4.850769230769230944e+00
3.151207146432394653e-40,4.314795999932946766e-40,3.322531472253049847e-40,2.561585885565584629e-40,2.424462017082340498e+44,5.081282051282051349e+00
8.890626007651074711e-41,1.217350550189723780e-40,9.373990139586615945e-41,7.227104102256409433e-41,3.455107294592232564e+44,5.311794871794871753e+00
2.467724156077603184e-41,3.378935697590120540e-41,2.601888988062697438e-41,2.005989157150206644e-41,4.923882631706751978e+44,5.542307692307692157e+00
6.789745501005670099e-42,9.296871124917804247e-42,7.158889297779092825e-42,5.519318608314691854e-42,7.017038286703836527e+44,5.772820512820512562e+00
1.859538055603489817e-42,2.546175795877067906e-42,1.960637123011609647e-42,1.511600544032389997e-42,9.999999999999999298e+44,6.003333333333332966e+00
5.080555449873144670e-43,6.956559602045965919e-43,5.356774275483962414e-43,4.129934506515167827e-43,1.425102670302996237e+45,6.233846153846153371e+00
1.386357346139593201e-43,1.898272266351332623e-43,1.461730600463027726e-43,1.126956510695232717e-43,2.030917620904730638e+45,6.464358974358974663e+00
3.780583450388600079e-44,5.176570625519602514e-44,3.986125606377880883e-44,3.073199810644695605e-44,2.894266124716740169e+45,6.694871794871795068e+00
1.030617945771914013e-44,1.411175458557296612e-44,1.086650417308399669e-44,8.377793844142516837e-45,4.124626382901330845e+45,6.925384615384615472e+00
2.809065530997012318e-45,3.846317983385373161e-45,2.961788356225739228e-45,2.283462267460656049e-45,5.878016072274875956e+45,7.155897435897435876e+00
7.655745889000651952e-46,1.048264369918077390e-45,8.071972256274586142e-46,6.223281968290452951e-46,8.376776400682856155e+45,7.386410256410256281e+00
2.086379362811687785e-46,2.856778659947611043e-46,2.199811302106603427e-46,1.695997654030573642e-46,1.193776641714445551e+46,7.616923076923076685e+00
5.685763621595376214e-47,7.785241969509543230e-47,5.994886308229357943e-47,4.621902390082503689e-47,1.701254279852599515e+46,7.847435897435897090e+00
1.549455255761254516e-47,2.121594369701389450e-47,1.633695791132948069e-47,1.259537227810291523e-47,2.424462017082340863e+46,8.077948717948718382e+00
4.222469822105487600e-48,5.781624327326383292e-48,4.452036385633145356e-48,3.432404978764250108e-48,3.455107294592232453e+46,8.308461538461537899e+00
1.150674966021973161e-48,1.575563747446930592e-48,1.213234678421585004e-48,9.353725778302388356e-49,4.923882631706752168e+46,8.538974358974359191e+00
3.135725595180543531e-49,4.293597858296997214e-49,3.306208222500383855e-49,2.549001081923484200e-49,7.017038286703836717e+46,8.769487179487178707e+00
8.545216368616811165e-50,1.170055273821406258e-49,9.009801324576408405e-50,6.946323939298790008e-50,1.000000000000000044e+47,9.000000000000000000e+00
