#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
8.362726483684268353e-48,1.051741639757228379e-46,3.071306724455844897e-47,6.950815093915451669e-49,4.641588833612753356e+47,6.003333333333332966e+00
4.996086443147593694e-48,6.283348090286882280e-47,1.834869754348556780e-47,4.152577885608114358e-49,5.379838403443720160e+47,6.233846153846153371e+00
2.984777727228479112e-48,3.753817642213656350e-47,1.096193678285197461e-47,2.480846183224959897e-49,6.235507341273924666e+47,6.464358974358974663e+00
1.783175327796473438e-48,2.242617580391148125e-47,6.548914861475041772e-48,1.482114954701338285e-49,7.227271320676159249e+47,6.694871794871795068e+00
1.065310230860837669e-48,1.339791671103553693e-47,3.912473380610966555e-48,8.854497928177912068e-50,8.376776400682854988e+47,6.925384615384615472e+00
6.364409995393568244e-49,8.004225676520705223e-48,2.337402192237513684e-48,5.289882091224233372e-50,9.709111468707592532e+47,7.155897435897435876e+00
3.802245901340554229e-49,4.781909759739431516e-48,1.396418192990709560e-48,3.160298050328287192e-50,1.125335582600764548e+48,7.386410256410256281e+00
2.271549743766479963e-49,2.856823617226014764e-48,8.342525630340048861e-49,1.888035233049475215e-50,1.304321386718998660e+48,7.616923076923076685e+00
1.357076415438049198e-49,1.706732579659678015e-48,4.984017985602073333e-49,1.127955966325922797e-50,1.511775070615672270e+48,7.847435897435897090e+00
8.107488741517144811e-50,1.019641563065911624e-48,2.977567751241523756e-49,6.738670124896879645e-51,1.752224480412787205e+48,8.077948717948718382e+00
4.843601505859937125e-50,6.091574799250652800e-49,1.778867921192402766e-49,4.025837568827267616e-51,2.030917620904730521e+48,8.308461538461537899e+00
2.893679694851907590e-50,3.639247837572404763e-49,1.062736886416094177e-49,2.405128583264656646e-51,2.353937197549971213e+48,8.538974358974359191e+00
1.728751253848480993e-50,2.174170926195284482e-49,6.349036239813940552e-50,1.436879507218013176e-51,2.728333376486780714e+48,8.769487179487178707e+00
1.032796028876242280e-50,1.298900054981235699e-49,3.793061263772708473e-50,8.584250890489788305e-52,3.162277660168379267e+48,9.000000000000000000e+00
