#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
1.951470320767233428e-46,6.910655127542971501e-47,2.125440379694273741e-47,8.726053069049907851e-48,1.637893706954067846e+46,3.862857142857142989e+00
1.194815164900782605e-46,4.231145848296284231e-47,1.301330781578461645e-47,5.342648784189973489e-48,1.976598071701618540e+46,4.046326530612244454e+00
7.315423981009133855e-47,2.590578586131709452e-47,7.967580832952505093e-48,3.271111899656725225e-48,2.385344006431416721e+46,4.229795918367346808e+00
4.478971274721607085e-47,1.586118193875646649e-47,4.878263484448611766e-48,2.002784291518456478e-48,2.878615592354583183e+46,4.413265306122449161e+00
2.742313190850044929e-47,9.711231839911278748e-48,2.986785465079157761e-48,1.226232865581327645e-48,3.473892112083097885e+46,4.596734693877550626e+00
1.679019840817643802e-47,5.945838350045177539e-48,1.828701430918309241e-48,7.507783274511823275e-49,4.192267435236922795e+46,4.780204081632652979e+00
1.028003524639566377e-47,3.640423199410787820e-48,1.119648184491955490e-48,4.596745959040993360e-49,5.059197488435780487e+46,4.963673469387755333e+00
6.294096239843649523e-48,2.228900331726473150e-48,6.855203565989188381e-49,2.814422398645048933e-49,6.105402296585314005e+46,5.147142857142856798e+00
3.853648993110598027e-48,1.364675593094357322e-48,4.197194849422681911e-49,1.723169718007964152e-49,7.367954559661659821e+46,5.330612244897959151e+00
2.359450824423973709e-48,8.355418355315032798e-49,2.569791609314370640e-49,1.055034908224621093e-49,8.891593339164587074e+46,5.514081632653061504e+00
1.444606969349623328e-48,5.115722465148959496e-49,1.573391074805744464e-49,6.459599689688443909e-50,1.073030940526156629e+47,5.697551020408162969e+00
8.844809454348362380e-49,3.132173067525920842e-49,9.633308262450337629e-50,3.954980809235886880e-50,1.294925842205271032e+47,5.881020408163265323e+00
5.415359052223957288e-49,1.917717036404851674e-49,5.898128543207587938e-50,2.421492654783879719e-50,1.562706976546989954e+47,6.064489795918367676e+00
3.315629784436457841e-49,1.174149241575017358e-49,3.611212198803829382e-50,1.482592953037598919e-50,1.885863278772655557e+47,6.247959183673469141e+00
2.030040992928800541e-49,7.188893957347152199e-50,2.211015485548949431e-50,9.077383984850513085e-51,2.275845926074772514e+47,6.431428571428571495e+00
1.242921164574953772e-49,4.401501487209195254e-50,1.353725344347345859e-50,5.557756081302980152e-51,2.746474114816050312e+47,6.614897959183673848e+00
7.609959733470983265e-50,2.694881223293762937e-50,8.288373916446508861e-51,3.402814369295307358e-51,3.314424749466445269e+47,6.798367346938775313e+00
4.659304933861690479e-50,1.649978951220659175e-50,5.074673564005284470e-51,2.083420981866563938e-51,3.999823395608916441e+47,6.981836734693877666e+00
2.852725011306367763e-50,1.010222831321548246e-50,3.107040300162246760e-51,1.275603813963132248e-51,4.826957437677880896e+47,7.165306122448980020e+00
1.746621031602749786e-50,6.185231442912433340e-51,1.902329145919168725e-51,7.810063853439575263e-52,5.825136712468879185e+47,7.348775510204081485e+00
1.069393304978906693e-50,3.786994989248459697e-51,1.164727789087392175e-51,4.781821497169301036e-52,7.029732115325461152e+47,7.532244897959183838e+00
6.547510994324354028e-51,2.318640972606853726e-51,7.131209788708371558e-52,2.927737501239540053e-52,8.483428982440761169e+47,7.715714285714286191e+00
4.008805742583690191e-51,1.419620563300078454e-51,4.366183543231019664e-52,1.792548484137041741e-52,1.023773966339579517e+48,7.899183673469387656e+00
2.454447727648250191e-51,8.691826667233063374e-52,2.673257315100450568e-52,1.097513034082274947e-52,1.235482888256748219e+48,8.082653061224489122e+00
1.502770160141247397e-51,5.321693188044864215e-52,1.636739409138474944e-52,6.719677992756528627e-53,1.490971657184075094e+48,8.266122448979592363e+00
9.200921774671002358e-52,3.258281541030705153e-52,1.002116735375474930e-52,4.114217410100825039e-53,1.799293623291547799e+48,8.449591836734693828e+00
5.633393831539339918e-52,1.994928723901401565e-52,6.135600729795816267e-53,2.518987504434298562e-53,2.171374302937526343e+48,8.633061224489795293e+00
3.449124646249010496e-52,1.221423183764552106e-52,3.756607886741609011e-53,1.542285546679695159e-53,2.620398528858332588e+48,8.816530612244898535e+00
2.111775100607713774e-52,7.478335320772211715e-53,2.300036041490952295e-53,9.442860289341333120e-54,3.162277660168379267e+48,9.000000000000000000e+00
