#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
7.889366642603976150e-36,4.237467568688352790e-36,1.683225456183430490e-36,8.220679476343414372e-37,5.094138014816364901e+42,1.281313131313131404e+00
6.566246491539948590e-36,3.537984184043429337e-36,1.405373597702744910e-36,6.863682965813499798e-37,5.722367659350219952e+42,1.372121212121212075e+00
5.470584687903315747e-36,2.957915977850578587e-36,1.174956360246771090e-36,5.738351687111861643e-37,6.428073117284345874e+42,1.462929292929292968e+00
4.562167205578170188e-36,2.476212481192495154e-36,9.836119842098272090e-37,4.803847768327718109e-37,7.220809018385515653e+42,1.553737373737373861e+00
3.808080521512047019e-36,2.075637302784328042e-36,8.244937546346654190e-37,4.026732641310481458e-37,8.111308307896822797e+42,1.644545454545454533e+00
3.181350651692094036e-36,1.742060849784943995e-36,6.919890526704805713e-37,3.379594921313166583e-37,9.111627561154868426e+42,1.735353535353535426e+00
2.659847421033598953e-36,1.463886848708336574e-36,5.814915556936539291e-37,2.839937858590063218e-37,1.023531021899026894e+43,1.826161616161616097e+00
2.225394706917569223e-36,1.231586916291349021e-36,4.892163575061237742e-37,2.389276406715553443e-37,1.149756995397740339e+43,1.916969696969696990e+00
1.863046835403656104e-36,1.037322459863713769e-36,4.120497779417535402e-37,2.012403709980787943e-37,1.291549665014893387e+43,2.007777777777777661e+00
1.560499211465942323e-36,8.746372211889332240e-37,3.474272337820977183e-37,1.696794638996962528e-37,1.450828778495931205e+43,2.098585858585858333e+00
1.307609577346722873e-36,7.382070160774319889e-37,2.932338292277157077e-37,1.432120285994049758e-37,1.629750834620640151e+43,2.189393939393939448e+00
1.096009232516301943e-36,6.236358232362598125e-37,2.477233574165399795e-37,1.209852377555247062e-37,1.830738280295369809e+43,2.280202020202020119e+00
9.187841470512781654e-37,5.272894666872827765e-37,2.094522350244539696e-37,1.022940618806898815e-37,2.056512308348659855e+43,2.371010101010100790e+00
7.702143391127747316e-37,4.461598180133817241e-37,1.772255600858200071e-37,8.655492460198421664e-38,2.310129700083176817e+43,2.461818181818181461e+00
6.455632820262719530e-37,3.777537986886942917e-37,1.500530210121741542e-37,7.328416913293687658e-38,2.595024211399721446e+43,2.552626262626262577e+00
5.409027235164381505e-37,3.200025536111854434e-37,1.271128181044177049e-37,6.208043795514500515e-38,2.915053062825169849e+43,2.643434343434343248e+00
4.529716276145262116e-37,2.711870465397562448e-37,1.077221082459428826e-37,5.261023834642887168e-38,3.274549162877731863e+43,2.734242424242423919e+00
3.790584560138754924e-37,2.298770379721123378e-37,9.131276542760022244e-38,4.459610410009369315e-38,3.678379771828649154e+43,2.825050505050505034e+00
3.169065357846497625e-37,1.948809793633940072e-37,7.741147750942171102e-38,3.780687501233793356e-38,4.132012400115368320e+43,2.915858585858585705e+00
2.646344865145586698e-37,1.652048211598927446e-37,6.562338376707327654e-38,3.204970564818971608e-38,4.641588833612753248e+43,3.006666666666666377e+00
2.206718522751175470e-37,1.400181073095027584e-37,5.561860680456584171e-38,2.716348768262006339e-38,5.214008287999673508e+43,3.097474747474747492e+00
1.837057805507544664e-37,1.186260328803997379e-37,4.712115315897187569e-38,2.301342908358332460e-38,5.857020818056673365e+43,3.188282828282828163e+00
1.526368839376332063e-37,1.004463879436091330e-37,3.989975484831714344e-38,1.948658122937456537e-38,6.579332246575708975e+43,3.279090909090908834e+00
1.265432639886732705e-37,8.499051099527761331e-38,3.376030360642269096e-38,1.648814387596799135e-38,7.390722033525835773e+43,3.369898989898989949e+00
1.046502614870968489e-37,7.184753775367255004e-38,2.853959412095639732e-38,1.393840942646426663e-38,8.302175681319700906e+43,3.460707070707070621e+00
8.630584246159697183e-38,6.067136324246563650e-38,2.410014505495797065e-38,1.177023357758692980e-38,9.326033468832179934e+43,3.551515151515151292e+00
7.096007910362217832e-38,5.116984232953958198e-38,2.032590923749147463e-38,9.926940226149773369e-39,1.047615752789666213e+44,3.642323232323231963e+00
5.814834235396955101e-38,4.309584087186248356e-38,1.711871896015543901e-38,8.360585392769003595e-39,1.176811952435003866e+44,3.733131313131313078e+00
4.747724440977590254e-38,3.623981998705612914e-38,1.439534026890492304e-38,7.030518571878739889e-39,1.321941148466039531e+44,3.823939393939393749e+00
