#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
3.501771279715660878e-41,2.674833589370904970e-40,1.725125977714247833e-40,2.037534821417813149e-41,6.768750009458513272e+45,3.666949152542373191e+00
2.087847575271684569e-41,2.081637406018810657e-40,1.272610485772706439e-40,1.150341144302898192e-41,8.068255840302869630e+45,3.819322033898305158e+00
1.181366162756057678e-41,1.480737608053910423e-40,8.605460752083972567e-41,6.273705651674249104e-42,9.617248711152944636e+45,3.971694915254237568e+00
6.451105608513607045e-42,9.618423452750975411e-41,5.361865818953343701e-41,3.349212042194475621e-42,1.146362666267422034e+46,4.124067796610169978e+00
3.446339632375971163e-42,5.779176509808484793e-41,3.126512712434052668e-41,1.765966609193700233e-42,1.366448349295324482e+46,4.276440677966101944e+00
1.817873688559113534e-42,3.278438161871895777e-41,1.739645000391349168e-41,9.247451746454645967e-43,1.628787421498549927e+46,4.428813559322033910e+00
9.521215270369626916e-43,1.791319878995934843e-41,9.396219766020939688e-42,4.824191478522846174e-43,1.941491945743881629e+46,4.581186440677965876e+00
4.967552610344582532e-43,9.569777003693381006e-42,4.986954562939863615e-42,2.511565548580055938e-43,2.314231388108567432e+46,4.733559322033898731e+00
2.586353268294655406e-43,5.047373431394504200e-42,2.620777204598142437e-42,1.306146654401982655e-43,2.758531617629186918e+46,4.885932203389830697e+00
1.345082072296093491e-43,2.643369710109170276e-42,1.369847183082887288e-42,6.788709478024619014e-44,3.288131309842434342e+46,5.038305084745762663e+00
6.991192388211332158e-44,1.379064638052549459e-42,7.139076730392524275e-43,3.527347307401864305e-44,3.919406774847229161e+46,5.190677966101695517e+00
3.632587419465627129e-44,7.179866460561479772e-43,3.714750652459418420e-43,1.832473835026795779e-44,4.671878346444286946e+46,5.343050847457627484e+00
1.887155404337760705e-44,3.733960518357912881e-43,1.931314038640843060e-43,9.518956774424117600e-45,5.568813990945289862e+46,5.495423728813559450e+00
9.803029670475518747e-45,1.940743149911192965e-43,1.003649278680323855e-43,4.944481248093341823e-45,6.637948800475647543e+46,5.647796610169491416e+00
5.092045437534397405e-45,1.008394947739771948e-43,5.214440770401414772e-44,2.568274153812128222e-45,7.912342618981359296e+46,5.800169491525424270e+00
2.644924151234781125e-45,5.238670257331824889e-44,2.708810077109088925e-44,1.334001520127539110e-45,9.431402320497374814e+46,5.952542372881356236e+00
1.373815232873062133e-45,2.721279068837852459e-44,1.407084454000636760e-44,6.928962909582701987e-46,1.124210035062093070e+47,6.104915254237288202e+00
7.135761494109465595e-46,1.413528915588746965e-44,7.308802864406124629e-45,3.598972580369711721e-46,1.340042721099466653e+47,6.257288135593221057e+00
3.706386222312695468e-46,7.342187472387944064e-45,3.796331079130330906e-45,1.869338640376663128e-46,1.597312280060265490e+47,6.409661016949153023e+00
1.925130357262105703e-46,3.813646894496555052e-45,1.971866585752701695e-45,9.709502404617107579e-47,1.903974015050779865e+47,6.562033898305084989e+00
9.999289580499274284e-47,1.980853817302335039e-45,1.024209134697218167e-45,5.043194552137706804e-47,2.269510536694687106e+47,6.714406779661016955e+00
5.193712451309750204e-47,1.028875313044320176e-45,5.319839426059252021e-46,2.619475510493112684e-47,2.705224984927512693e+47,6.866779661016949809e+00
2.697655731579875703e-47,5.344070787074362392e-46,2.763170887581942136e-46,1.360576277722651046e-47,3.224590545296371687e+47,7.019152542372881776e+00
1.401183708545332535e-47,2.775755428722808906e-46,1.435213846663631160e-46,7.066940101056919856e-48,3.843667067526129466e+47,7.171525423728813742e+00
7.277858304962519735e-48,1.441749964490907843e-46,7.454616410269953307e-47,3.670624057833476650e-48,4.581597669054463115e+47,7.323898305084746596e+00
3.780176630248008742e-48,7.488564437130220269e-47,3.871986973778930464e-47,1.906550849941477766e-48,5.461200679536375628e+47,7.476271186440678562e+00
1.963453314369256974e-48,3.889619546058346346e-47,2.011140545470254754e-47,9.902774134811060030e-49,6.509675230458136856e+47,7.628644067796610528e+00
1.019832998630164218e-48,2.020298958958903793e-47,1.044602180049100203e-47,5.143578253626381684e-49,7.759442308140499327e+47,7.781016949152542495e+00
5.297092272999901334e-49,1.049359108831324442e-47,5.425745504404942685e-48,2.671614721024095261e-49,9.249147277217296884e+47,7.933389830508475349e+00
2.751351102049388780e-49,5.450453301304361849e-48,2.818174641700510512e-48,1.387657551265177883e-49,1.102485487467421786e+48,8.085762711864406427e+00
1.429073250382849502e-49,2.831008047055196402e-48,1.463781931561591476e-48,7.207601689365314365e-50,1.314147362611752741e+48,8.238135593220340169e+00
7.422718065121728220e-50,1.470447697743379640e-48,7.602997701031163841e-49,3.743684602702253948e-50,1.566445373014905567e+48,8.390508474576272135e+00
3.855417728204453553e-50,7.637620197922902346e-49,3.949056388674913270e-49,1.944499017090990430e-50,1.867181091291916970e+48,8.542881355932204102e+00
2.002534075017286468e-50,3.967039580285359652e-49,2.051170729180995862e-49,1.009987973925870928e-50,2.225653883459681229e+48,8.695254237288136068e+00
1.040131836208689172e-50,2.060511338327538392e-49,1.065394094924016050e-49,5.245956405365712076e-51,2.652948464431894460e+48,8.847627118644068034e+00
5.402525979974319235e-51,1.070245679976978557e-49,5.533740126492201837e-50,2.724790721899400784e-51,3.162277660168379267e+48,9.000000000000000000e+00
