#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
4.526792222804467914e-37,2.200041975260853813e-37,1.937968771945623563e-38,2.128353478762063435e-39,7.609496685459898624e+42,1.990847457627118899e+00
3.710581156888612047e-37,1.789779527082781754e-37,1.509027619243793295e-38,1.657273444990108349e-39,8.895134973108182275e+42,2.143220338983050866e+00
3.049265693844424402e-37,1.459808470615676356e-37,1.179226081479000242e-38,1.295072433103792073e-39,1.039798418481492124e+43,2.295593220338982832e+00
2.511345185054168539e-37,1.193462928924879838e-37,9.245702109540250640e-39,1.015399346640762177e-39,1.215474250076278475e+43,2.447966101694915242e+00
2.071970943611535003e-37,9.776469606342062368e-38,7.270673604182052454e-39,7.984939531749413656e-40,1.420830832533923802e+43,2.600338983050847652e+00
1.711501513056873385e-37,8.020515207134750450e-38,5.731855351535050675e-39,6.294948842211193439e-40,1.660882782627703055e+43,2.752711864406779618e+00
1.414384367396898065e-37,6.585494551873243325e-38,4.527187645597495610e-39,4.971935417123663549e-40,1.941491945743881718e+43,2.905084745762712028e+00
1.168290994651815512e-37,5.407277463185705252e-38,3.579496545345293353e-39,3.931143801070609564e-40,2.269510536694649615e+43,3.057457627118643995e+00
9.634541210582977690e-38,4.435260317774420607e-38,2.830298719892464661e-39,3.108345301339047248e-40,2.652948464431894454e+43,3.209830508474576405e+00
7.921495817401052554e-38,3.629574883285653378e-38,2.235205874776991610e-39,2.454790948233345751e-40,3.101168926574800610e+43,3.362203389830508371e+00
6.482999522600120679e-38,2.958923920471727797e-38,1.760501671973683993e-39,1.933452134086681641e-40,3.625117049988527653e+43,3.514576271186440781e+00
5.271571480084577988e-38,2.398880838647296428e-38,1.380573675971839622e-39,1.516200275503947600e-40,4.237587160604089650e+43,3.666949152542373191e+00
4.250471331989993936e-38,1.930517676171279855e-38,1.075962837795532682e-39,1.181664680046292154e-40,4.953535208959159667e+43,3.819322033898305158e+00
3.391449416748131049e-38,1.539246573783346307e-38,8.318545577267499954e-40,9.135753720037154531e-41,5.790443980602518565e+43,3.971694915254237568e+00
2.672702698388936330e-38,1.213790302285130892e-38,6.368874160109728818e-40,6.994547936321245630e-41,6.768750009458513272e+43,4.124067796610169978e+00
2.076943140776900972e-38,9.452438300328617590e-39,4.822030659886576979e-40,5.295743604456231968e-41,7.912342618981359502e+43,4.276440677966101944e+00
1.589645259181808961e-38,7.262425577191102695e-39,3.607016562386762833e-40,3.961367365481807257e-41,9.249147277217297277e+43,4.428813559322033910e+00
1.197646891016483155e-38,5.586351186264312879e-39,2.739199605800796951e-40,3.008296673520085674e-41,1.081180751076612141e+44,4.581186440677965876e+00
8.882592179261827019e-39,4.307777136079496044e-39,2.112266314735119234e-40,2.319773891157711507e-41,1.263848202934291893e+44,4.733559322033898731e+00
6.489617202801035734e-39,3.284757613878062562e-39,1.610641089519978767e-40,1.768869352046066886e-41,1.477377652598515693e+44,4.885932203389830697e+00
4.675734677131627697e-39,2.480474827080724805e-39,1.216270771741786971e-40,1.335756368021540359e-41,1.726983290659425439e+44,5.038305084745762663e+00
3.326819033054959798e-39,1.858434786903042487e-39,9.112609762537102913e-41,1.000782621962768333e-41,2.018760254679043150e+44,5.190677966101695517e+00
2.340888545167276108e-39,1.384215315879889041e-39,6.787332054820511979e-41,7.454114844114627239e-42,2.359833466782179277e+44,5.343050847457627484e+00
1.631073997898801518e-39,1.026976867164338973e-39,5.035656613604814174e-41,5.530356023568452441e-42,2.758531617629187045e+44,5.495423728813559450e+00
1.126567510490024163e-39,7.603594714247649330e-40,3.728330523714179424e-41,4.094599126153784615e-42,3.224590545296371731e+44,5.647796610169491416e+00
7.718058637978203524e-40,5.627205236467841161e-40,2.759231894226937665e-41,3.030296920054779783e-42,3.769390975388363263e+44,5.800169491525424270e+00
4.948219167404760215e-40,3.767006782462152906e-40,1.847106125182494655e-41,2.028564548657854294e-42,4.406236427773608558e+44,5.952542372881356236e+00
2.979039557766967686e-40,2.274826409635511097e-40,1.115433562404758587e-41,1.225012981240513548e-42,5.150678076168122078e+44,6.104915254237288202e+00
1.787444561059123120e-40,1.369036449000885448e-40,6.712904320535369024e-42,7.372375380881112047e-43,6.020894493336174693e+44,6.257288135593221057e+00
1.069660347123630673e-40,8.217219577161334387e-41,4.029214039010481075e-42,4.425041229119210966e-43,7.038135554931547412e+44,6.409661016949153023e+00
6.388171520127228041e-41,4.921964273461847260e-41,2.413425534503167770e-42,2.650518783610787753e-43,8.227241341700524553e+44,6.562033898305084989e+00
