# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
3.097474747474747492e+00 3.511191734215141737e+45 2.245063478777534603e+41 5.490270030750017975e+45 4.069634551330691448e-05 9.293765851741703403e-40
3.188282828282828163e+00 3.898603702549095847e+45 2.365855478740458638e+41 5.634417216135579413e+45 4.179337180837235712e-05 8.693372853010936205e-40
3.279090909090908834e+00 4.328761281083025852e+45 2.482005358780638281e+41 5.769588330490284427e+45 4.282217680709796527e-05 8.056151643765076178e-40
3.369898989898989949e+00 4.806380863064369489e+45 2.592657710549038321e+41 5.895445227950230347e+45 4.378017019384200189e-05 7.381363664811216640e-40
3.460707070707070621e+00 5.336699231206301785e+45 2.697021015973606038e+41 6.011706319692771355e+45 4.466519180370423308e-05 6.670234937721619983e-40
3.551515151515151292e+00 5.925530975545687235e+45 2.794376178094314231e+41 6.118145524446060122e+45 4.547550406968714156e-05 5.927476256528020206e-40
3.642323232323231963e+00 6.579332246575708935e+45 2.884083484467158590e+41 6.214590844679932589e+45 4.620978177812904705e-05 5.162982589911487377e-40
3.733131313131313078e+00 7.305271542664509084e+45 2.965587987573315621e+41 6.300922640461558570e+45 4.686709943800830731e-05 4.393121925265699091e-40
3.823939393939393749e+00 8.111308307896822579e+45 3.038423313849574390e+41 6.377071649613490329e+45 4.744691656387847793e-05 3.640636289727808832e-40
3.914747474747474421e+00 9.006280202112758716e+45 3.102213940556746895e+41 6.443016791659088780e+45 4.794906116380774711e-05 2.932206287530715013e-40
4.005555555555555536e+00 9.999999999999999931e+45 3.156676005817310921e+41 6.498782788255095850e+45 4.837371171317602985e-05 2.293640802112325468e-40
4.096363636363636651e+00 1.110336318167641310e+46 3.201616740381521102e+41 6.544437630852404866e+45 4.872137788289586266e-05 1.744237400072333502e-40
4.187171717171716878e+00 1.232846739442073525e+46 3.236932629186862946e+41 6.580089925313759142e+45 4.899288027691000712e-05 1.292851640752346484e-40
4.277979797979797993e+00 1.368874509537070763e+46 3.262606426171241299e+41 6.605886142283906410e+45 4.918932941901691888e-05 9.374184867804416019e-41
4.368787878787879109e+00 1.519911082952927053e+46 3.278703157021905848e+41 6.622007800939382464e+45 4.931210421343848184e-05 6.676144478087846469e-41
4.459595959595959336e+00 1.687612475788145338e+46 3.285365251733137882e+41 6.628668612282080302e+45 4.936283008737450104e-05 4.688493880614706845e-41
4.550404040404040451e+00 1.873817422860386811e+46 3.282806952283676523e+41 6.626111606432483951e+45 4.934335700728998054e-05 3.258002382583663693e-41
4.641212121212120678e+00 2.080567538217180140e+46 3.271308140787843979e+41 6.614606266502632586e+45 4.925573754407266513e-05 2.246457774272753282e-41
4.732020202020201793e+00 2.310129700083177102e+46 3.251207730525876866e+41 6.594445689659125207e+45 4.910220514567504300e-05 1.540342849880993979e-41
4.822828282828282909e+00 2.565020905680029990e+46 3.222896756744196925e+41 6.565943793983079828e+45 4.888515275954355058e-05 1.051993889202724767e-41
