# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
4.229795918367346808e+00 2.222996482526191083e+44 2.283227469482665802e+40 3.605339644347056596e+42 9.158025356363435048e-04 4.422853647554182836e-38
4.413265306122449161e+00 2.811768697974213827e+44 2.168140014187748841e+40 3.605339644347074546e+42 8.696409574371722706e-04 2.936036052702011971e-38
4.596734693877550626e+00 3.556480306223150318e+44 2.062406235894880325e+40 3.605339644347080736e+42 8.272311390738020572e-04 1.926569311455014282e-38
4.780204081632652979e+00 4.498432668969453207e+44 1.964995386152199818e+40 3.605339644347072070e+42 7.881596473432567716e-04 1.112624696757463106e-38
4.963673469387755333e+00 5.689866029018281824e+44 1.875018291904540666e+40 3.605339644347060310e+42 7.520698349340449286e-04 5.699229228670564294e-39
5.147142857142856798e+00 7.196856730011469450e+44 1.791704293349550776e+40 3.605339644347064024e+42 7.186525902002367360e-04 2.885080343274422890e-39
5.330612244897959151e+00 9.102981779915264101e+44 1.714382493720490678e+40 3.605339644347083212e+42 6.876388164493795309e-04 1.445395922812729540e-39
5.514081632653061504e+00 1.151395399326448145e+45 1.642466416803365813e+40 3.605339644347061548e+42 6.587932780726741188e-04 7.176687994351964526e-40
5.697551020408162969e+00 1.456348477501238376e+45 1.575441377030974123e+40 3.605339644347088163e+42 6.319095346896285619e-04 3.536429728572541979e-40
5.881020408163265323e+00 1.842069969326701252e+45 1.512854023451335507e+40 3.605339644347073927e+42 6.068057472338917076e-04 1.731634584154601786e-40
6.064489795918367676e+00 2.329951810515381535e+45 1.454303636985834771e+40 3.605339644347085068e+42 5.833211872834333711e-04 8.434952778432201787e-41
6.247959183673469141e+00 2.947051702551809539e+45 1.399434850290711116e+40 3.605339644347060310e+42 5.613133169970514627e-04 4.091317241287746107e-41
6.431428571428571495e+00 3.727593720314922669e+45 1.347931528487442064e+40 3.605339644347056596e+42 5.406553346752919487e-04 1.977661798058857337e-41
6.614897959183673848e+00 4.714866363457428370e+45 1.299511602293921899e+40 3.605339644347064642e+42 5.212341023293982955e-04 9.533313474277178505e-42
6.798367346938775313e+00 5.963623316594661063e+45 1.253922686523968060e+40 3.605339644347093734e+42 5.029483882614493818e-04 4.585434206717642246e-42
6.981836734693877666e+00 7.543120063354606750e+45 1.210938349363118511e+40 3.605339644347068356e+42 4.857073706709141999e-04 2.201699897560131388e-42
7.165306122448980020e+00 9.540954763499885144e+45 1.170354923385554083e+40 3.605339644347064642e+42 4.694293585534963496e-04 1.055686442434243797e-42
7.348775510204081485e+00 1.206792640639336259e+46 1.131988769527975449e+40 3.605339644347070832e+42 4.540406942810981715e-04 5.056353523623319984e-43
7.532244897959183838e+00 1.526417967175236564e+46 1.095673921374363159e+40 3.605339644347068975e+42 4.394748087244277853e-04 2.419726472486191642e-43
7.715714285714286191e+00 1.930697728883245658e+46 1.061260050033180930e+40 3.605339644347067118e+42 4.256714049652494556e-04 1.157181043326664412e-43
7.899183673469387656e+00 2.442053094548634828e+46 1.028610700298162714e+40 3.605339644347059072e+42 4.125757508204718079e-04 5.531025063389654303e-44
