# 41<log(Lx)<43, 43<log(Lx)<45, 45<log(Lx)<47, 41<log(Lx)<47, L_x, Z_list
3.862060065644198656e+08,6.974471698091629893e+06,3.998770486075346753e+02,3.931808781395601034e+08,1.726983290659425390e+43,3.362203389830508371e+00
3.812686549386477470e+08,6.885308353679149412e+06,3.947649230515027625e+02,3.881543580572499037e+08,2.182644728397500479e+43,3.514576271186440781e+00
3.760601933785130382e+08,6.791249050808892585e+06,3.893720907261333082e+02,3.828518318014126420e+08,2.758531617629187144e+43,3.666949152542373191e+00
3.706528890364119411e+08,6.693598857761839405e+06,3.837733769192794853e+02,3.773468716675507426e+08,3.486365227678073502e+43,3.819322033898305158e+00
3.651061519827525616e+08,6.593430657526806928e+06,3.780302947177605120e+02,3.716999606705740690e+08,4.406236427773609152e+43,3.971694915254237568e+00
3.594687662557002306e+08,6.491625438197644427e+06,3.721933550325162514e+02,3.659607638872529268e+08,5.568813990945289759e+43,4.124067796610169978e+00
3.537807263938878775e+08,6.388905458809582517e+06,3.663039681414688857e+02,3.601699981566655636e+08,7.038135554931546818e+43,4.276440677966101944e+00
3.480747496869062781e+08,6.285861558983113617e+06,3.603960094711522402e+02,3.543609716418988109e+08,8.895134973108181779e+43,4.428813559322033910e+00
3.423775223887297511e+08,6.182975664218812250e+06,3.544971099239710384e+02,3.485608525500584841e+08,1.124210035062093224e+44,4.581186440677965876e+00
3.367107278477674723e+08,6.080639352838136256e+06,3.486297204023438780e+02,3.427917158303260207e+08,1.420830832533923851e+44,4.733559322033898731e+00
3.310918958561856151e+08,5.979169194333313033e+06,3.428119912235493985e+02,3.370714078625101447e+08,1.795714494371633660e+44,4.885932203389830697e+00
3.255351053456920385e+08,5.878819439308977686e+06,3.370584996897605379e+02,3.314142618435007334e+08,2.269510536694686852e+44,5.038305084745762663e+00
3.200515666568923593e+08,5.779792534650938585e+06,3.313808529687590294e+02,3.258316905723962784e+08,2.868316813342020667e+44,5.190677966101695517e+00
3.146501047852656245e+08,5.682247850436685607e+06,3.257881884459928301e+02,3.203326784238907695e+08,3.625117049988527554e+44,5.343050847457627484e+00
3.093375610755358934e+08,5.586308934110642411e+06,3.202875896382655014e+02,3.149241902972361445e+08,4.581597669054462875e+44,5.495423728813559450e+00
3.041191276392619610e+08,5.492069549712107517e+06,3.148844324491420821e+02,3.096115120734065175e+08,5.790443980602518763e+44,5.647796610169491416e+00
2.989986261723672748e+08,5.399598713024196215e+06,3.095826738561366369e+02,3.043985344680653214e+08,7.318242219076181212e+44,5.800169491525424270e+00
2.939787407382074594e+08,5.308944895390311256e+06,3.043850929339330378e+02,2.992879900186907053e+08,9.249147277217297277e+44,5.952542372881356236e+00
2.890612123655337095e+08,5.220139537946829572e+06,2.992934923407651127e+02,2.942816511969728470e+08,1.168951816498587256e+45,6.104915254237288202e+00
2.842470019137312174e+08,5.133199992797231302e+06,2.943088669488199116e+02,2.893804962153954506e+08,1.477377652598515574e+45,6.257288135593221057e+00
2.795364265195967555e+08,5.048131987096353434e+06,2.894315451210040919e+02,2.845848479382382631e+08,1.867181091291916901e+45,6.409661016949153023e+00
2.749292740109130740e+08,4.964931689238661900e+06,2.846613071745645129e+02,2.798944903614588976e+08,2.359833466782179356e+45,6.562033898305084989e+00
2.704248989126403332e+08,4.883587442627986893e+06,2.799974847857275790e+02,2.753087663527531028e+08,2.982471286216906181e+45,6.714406779661016955e+00
2.660223030494732261e+08,4.804081221274937503e+06,2.754390444454641056e+02,2.708266597097925544e+08,3.769390975388363422e+45,6.866779661016949809e+00
2.617202032381827235e+08,4.726389852248515934e+06,2.709846575480221418e+02,2.664468640750887990e+08,4.763938010401320952e+45,7.019152542372881776e+00
2.575170881433570981e+08,4.650486042430897243e+06,2.666327592592617748e+02,2.621678408185472786e+08,6.020894493336174693e+45,7.171525423728813742e+00
2.534112660244497657e+08,4.576339240778458305e+06,2.623815979538712213e+02,2.579878676468261778e+08,7.609496685459899169e+45,7.323898305084746596e+00
2.494009048165749907e+08,4.503916362138477154e+06,2.582292767149528459e+02,2.539050794079901874e+08,9.617248711152944636e+45,7.476271186440678562e+00
2.454840657513551712e+08,4.433182394406164996e+06,2.541737881449956831e+02,2.499175023195494711e+08,1.215474250076278582e+46,7.628644067796610528e+00
2.416587315284305811e+08,4.364100907272220589e+06,2.502130435346057311e+02,2.460230826487463415e+08,1.536174946671835894e+46,7.781016949152542495e+00
2.379228298857004344e+08,4.296634477876518853e+06,2.463448972670929322e+02,2.422197107084742188e+08,1.941491945743881629e+46,7.933389830508475349e+00
2.342742532811068296e+08,4.230745046240208670e+06,2.425671671969618615e+02,2.385052408945142329e+08,2.453751106639806973e+46,8.085762711864406427e+00
2.307108752860475183e+08,4.166394211313464213e+06,2.388776516236225405e+02,2.348775083750126064e+08,3.101168926574800733e+46,8.238135593220340169e+00
2.272305641963069141e+08,4.103543476774458773e+06,2.352741433841157743e+02,2.313343429472247660e+08,3.919406774847229161e+46,8.390508474576272135e+00
2.238311942875985801e+08,4.042154454292553477e+06,2.317544415070995285e+02,2.278735804963326454e+08,4.953535208959159968e+46,8.542881355932204102e+00
2.205106550767905116e+08,3.982189030776213855e+06,2.283163608018944615e+02,2.244930724239275157e+08,6.260516572014879010e+46,8.695254237288136068e+00
2.172668588943738937e+08,3.923609505123855080e+06,2.249577396990082150e+02,2.211906933572374582e+08,7.912342618981359296e+46,8.847627118644068034e+00
2.140977470271601081e+08,3.866378699154290836e+06,2.216764466102691244e+02,2.179643474027610123e+08,1.000000000000000044e+47,9.000000000000000000e+00
