# 46<log(Lx)<46.75, 46.75<log(Lx)<47.5, 47.5<log(Lx)<48.5, 46<log(Lx)<48.5, L_x, Z_list
6.298826664192991302e+03,8.545936416910730316e+01,1.171614287120213760e+00,6.385457642649218542e+03,2.848035868435793318e+46,1.644545454545454533e+00
8.487066062530879208e+03,1.151483138102885562e+02,1.578638115431990840e+00,8.603793014456599849e+03,3.018547260049917951e+46,1.735353535353535426e+00
1.118508834176984965e+04,1.517537453915602157e+02,2.080484192146921707e+00,1.133892257135355794e+04,3.199267137797384691e+46,1.826161616161616097e+00
1.444074915163267360e+04,1.959249406985113069e+02,2.686053915300897099e+00,1.463936014624648487e+04,3.390806681894060010e+46,1.916969696969696990e+00
1.829012183989332334e+04,2.481513252255036832e+02,3.402057116019506111e+00,1.854167522223484411e+04,3.593813663804640381e+46,2.007777777777777661e+00
2.275427553001114939e+04,3.087187589736642508e+02,4.232412822541416375e+00,2.306722670180735440e+04,3.808974636954091214e+46,2.098585858585858333e+00
2.783658624871960274e+04,3.776731498395344602e+02,5.177750414080957597e+00,2.821943714897321843e+04,4.037017258596582533e+46,2.189393939393939448e+00
3.352066911410041939e+04,4.547940654834068255e+02,6.235047849916784735e+00,3.398169822743374243e+04,4.278712750694231412e+46,2.280202020202020119e+00
3.976759530278208695e+04,5.395803527346229203e+02,7.397434517091491912e+00,4.031457309003380215e+04,4.534878508128554189e+46,2.371010101010100790e+00
4.649655194843339268e+04,6.312489627249337900e+02,8.654175123452343854e+00,4.713645508628177777e+04,4.806380863064369362e+46,2.461818181818181461e+00
5.342484395439593936e+04,7.287472998907741157e+02,9.990838997617446537e+00,5.416358209328433441e+04,5.094138014816364820e+46,2.552626262626262577e+00
5.942100227215646009e+04,8.307785391055917898e+02,1.138964717690729600e+01,6.026317045843895903e+04,5.399123135125897066e+46,2.643434343434343248e+00
6.309893626746782684e+04,9.358385561559676944e+02,1.282997870965476750e+01,6.404760480233345152e+04,5.722367659350219659e+46,2.734242424242423919e+00
6.527723101286997553e+04,1.042262448907411454e+03,1.428900844209935350e+01,6.633378247021947755e+04,6.064964774694614110e+46,2.825050505050505034e+00
6.691723017448054452e+04,1.148278130156018960e+03,1.574244175531555712e+01,6.808125074639187369e+04,6.428073117284345527e+46,2.915858585858585705e+00
6.828771206982606964e+04,1.252064170980992913e+03,1.716530757483615943e+01,6.955694154838188842e+04,6.812920690579649524e+46,3.006666666666666377e+00
6.944560402141136001e+04,1.351808970542154157e+03,1.853276956531553310e+01,7.081594576151882939e+04,7.220809018385515203e+46,3.097474747474747492e+00
7.040524247451264819e+04,1.445768414079968807e+03,1.982091659904420666e+01,7.187083180519165762e+04,7.653117546501280190e+46,3.188282828282828163e+00
7.117302508921783010e+04,1.532319431852876733e+03,2.100749702792349538e+01,7.272635201809863793e+04,8.111308307896822326e+46,3.279090909090908834e+00
7.175435308592606452e+04,1.610007255035621711e+03,2.207256654325543721e+01,7.338643290750494634e+04,8.596930867190752707e+46,3.369898989898989949e+00
7.215504669696728524e+04,1.677584641834198010e+03,2.299902595035791819e+01,7.385563036475183617e+04,9.111627561154868414e+46,3.460707070707070621e+00
7.238157260564902390e+04,1.734041878041428618e+03,2.377303246438751927e+01,7.413938751615484944e+04,9.657139052966039257e+46,3.551515151515151292e+00
7.244099825350086030e+04,1.778626902174420820e+03,2.438427561806282284e+01,7.424400943129335064e+04,1.023531021899026877e+47,3.642323232323231963e+00
7.234088536242043483e+04,1.810855431459846841e+03,2.482611608494199018e+01,7.417656690996521502e+04,1.084809638800745416e+47,3.733131313131313078e+00
7.208917681933645508e+04,1.830511442450708955e+03,2.509559226848941904e+01,7.394478385405565496e+04,1.149756995397740354e+47,3.823939393939393749e+00
7.169409175603961921e+04,1.837638767214331438e+03,2.519330508911728117e+01,7.355692382834307500e+04,1.218592738471094570e+47,3.914747474747474421e+00
7.116403278411171050e+04,1.832524888539062431e+03,2.512319582283809538e+01,7.302168086847360246e+04,1.291549665014893185e+47,4.005555555555555536e+00
7.050750593977910466e+04,1.815678248444603469e+03,2.489223500986553006e+01,7.234807642323356413e+04,1.368874509537070814e+47,4.096363636363636651e+00
6.973305266541922174e+04,1.787800523004003253e+03,2.451004235331827275e+01,7.154536323077653651e+04,1.450828778495931310e+47,4.187171717171716878e+00
6.884919265299562539e+04,1.749755368186476744e+03,2.398845823701594782e+01,7.062293647941912059e+04,1.537689634694006743e+47,4.277979797979797993e+00
6.786437616125863860e+04,1.702535115517019449e+03,2.334108713606214280e+01,6.959025236391172803e+04,1.629750834620640233e+47,4.368787878787879109e+00
6.678694433457206469e+04,1.647226805218201889e+03,2.258283194457314025e+01,6.845675397173484089e+04,1.727323721912987063e+47,4.459595959595959336e+00
6.562509600697283167e+04,1.584978802284935455e+03,2.172943629518595543e+01,6.723180424555295031e+04,1.830738280295369774e+47,4.550404040404040451e+00
6.438685936250967643e+04,1.516969062345994644e+03,2.079704949649507739e+01,6.592462547435217130e+04,1.940344249557919789e+47,4.641212121212120678e+00
6.308006641950711492e+04,1.444375913488977403e+03,1.980182596335911427e+01,6.454424415895945276e+04,2.056512308348659998e+47,4.732020202020201793e+00
6.171232704526940506e+04,1.368352010598137895e+03,1.875956814111162885e+01,6.309943862400865328e+04,2.179635327779133865e+47,4.822828282828282909e+00
6.029099551420048374e+04,1.290001911584618256e+03,1.768541908449247302e+01,6.159868284486958873e+04,2.310129700083176798e+47,4.913636363636363136e+00
5.882311188612990372e+04,1.210363529524974638e+03,1.659360817375858232e+01,6.005006902382864064e+04,2.448436746822209036e+47,5.004444444444444251e+00
5.731526862988608627e+04,1.130393538304585036e+03,1.549725103179241259e+01,5.846115941922245838e+04,2.595024211399721443e+47,5.095252525252525366e+00
