# 44<log(Lx)<46.5, 46.5<log(Lx)<47.5, 47.5<log(Lx)<48.5, 44<log(Lx)<48.5, L_x, Z_list
8.416005759276096942e+05,3.115263364253088639e+03,5.808631080216576592e+00,8.821583333587779198e+05,2.894266124716740093e+47,6.925384615384615472e+00
7.636540426450318191e+05,2.327337050009140967e+03,4.338171929219863721e+00,8.040561078513817629e+05,3.775053205324422707e+47,7.155897435897435876e+00
6.897306686649506446e+05,1.709572308450916580e+03,3.185866751695849430e+00,7.296961448497201782e+05,4.923882631706751762e+47,7.386410256410256281e+00
6.202079147174307145e+05,1.235714543237832004e+03,2.302356864692854277e+00,6.588908750590934651e+05,6.422325422229343541e+47,7.616923076923076685e+00
5.553212339233269449e+05,8.795589476694802897e+02,1.638522810427112120e+00,5.912245319763539592e+05,8.376776400682854988e+47,7.847435897435897090e+00
4.951839728035744629e+05,6.169053765503981595e+02,1.149091933317649694e+00,5.262285979026685236e+05,1.092600861117382379e+48,8.077948717948718382e+00
4.398069706801957218e+05,4.266274678707333692e+02,7.945960338112361132e-01,4.636520829089883482e+05,1.425102670302996280e+48,8.308461538461537899e+00
3.891172400329225929e+05,2.910761201291421116e+02,5.420951867364908194e-01,4.037518075113472878e+05,1.858791891146552271e+48,8.538974358974359191e+00
3.429752706384368939e+05,1.960312950289700780e+02,3.650678114578190248e-01,3.474421252400362864e+05,2.424462017082340721e+48,8.769487179487178707e+00
3.011906564909992740e+05,1.303836482381801716e+02,2.428042627389084274e-01,2.961402458855237346e+05,3.162277660168379267e+48,9.000000000000000000e+00
