# 42<log(Lx)<43, 43<log(Lx)<44, 44<log(Lx)<47, 42<log(Lx)<47, L_x, Z_list
5.421301785286936909e+06,2.988629551753273699e+06,8.649896222336465726e+05,9.274920959273856133e+06,5.857020818056672870e+42,1.735353535353535426e+00
5.244589996093612164e+06,2.891212714203352574e+06,8.683168507704109652e+05,9.004119561067374423e+06,6.428073117284345874e+42,1.826161616161616097e+00
5.065279171176299453e+06,2.792363092558682896e+06,8.488446099865292199e+05,8.706486873721512035e+06,7.054802310718688084e+42,1.916969696969696990e+00
4.885662642016726546e+06,2.693344943728369661e+06,8.187442902432059636e+05,8.397751875988302752e+06,7.742636826811214292e+42,2.007777777777777661e+00
4.707509922153901309e+06,2.595133756748835091e+06,7.888892771433283342e+05,8.091532956046064384e+06,8.497534359086403668e+42,2.098585858585858333e+00
4.532166913846486248e+06,2.498471494237821549e+06,7.595051183495695004e+05,7.790143526433877647e+06,9.326033468832179934e+42,2.189393939393939448e+00
4.360638761947511695e+06,2.403912267685600091e+06,7.307602570536818821e+05,7.495311286686793901e+06,1.023531021899026894e+43,2.280202020202020119e+00
4.193657871330007445e+06,2.311859833779054694e+06,7.027774304055516841e+05,7.208295135514613241e+06,1.123324032978031165e+43,2.371010101010100790e+00
4.031739436864762567e+06,2.222598206704579294e+06,6.756429752830432262e+05,6.929980618852385320e+06,1.232846739442073367e+43,2.461818181818181461e+00
3.875226580508247018e+06,2.136316541107982863e+06,6.494143924108793726e+05,6.660957514027108438e+06,1.353047774579818728e+43,2.552626262626262577e+00
3.724326909474674612e+06,2.053129285710263764e+06,6.241264728161452804e+05,6.401582668001083657e+06,1.484968262254457523e+43,2.643434343434343248e+00
3.579142035847307183e+06,1.973092456739048474e+06,5.997962447545881150e+05,6.152030737340943888e+06,1.629750834620640151e+43,2.734242424242423919e+00
3.439691347737186588e+06,1.896216742380320327e+06,5.764269573054820066e+05,5.912335047422988340e+06,1.788649529057435168e+43,2.825050505050505034e+00
3.305931101881491486e+06,1.822478028055453207e+06,5.540112799285730580e+05,5.682420409865518101e+06,1.963040650040276317e+43,2.915858585858585705e+00
3.177769718588177580e+06,1.751779625091148773e+06,5.283820915046131704e+05,5.457931435183939524e+06,2.154434690031895588e+43,3.006666666666666377e+00
3.055080000512314960e+06,1.674737281064011389e+06,4.571964110016706982e+05,5.187013692577997223e+06,2.364489412645426328e+43,3.097474747474747492e+00
2.937708863884669729e+06,1.585913909098317381e+06,3.965941611691431608e+05,4.920216934152130038e+06,2.595024211399721446e+43,3.188282828282828163e+00
2.825485061043498106e+06,1.487762807131889043e+06,3.448638496427425998e+05,4.658111717818129808e+06,2.848035868435793207e+43,3.279090909090908834e+00
2.718225283004641999e+06,1.382778728964414215e+06,3.005914638931064983e+05,4.401595475862162188e+06,3.125715849688235326e+43,3.369898989898989949e+00
2.615738957163942512e+06,1.273276490369973937e+06,2.626054634269718663e+05,4.151620910960888490e+06,3.430469286314926309e+43,3.460707070707070621e+00
2.517831995251822751e+06,1.161240842709204648e+06,2.299324940617250104e+05,3.909005332022752613e+06,3.764935806792486724e+43,3.551515151515151292e+00
2.424309697932711802e+06,1.048265953039234621e+06,2.017616403829944611e+05,3.674337291354940739e+06,4.132012400115368320e+43,3.642323232323231963e+00
2.334978982920872979e+06,9.355629012418715283e+05,1.774154932023044676e+05,3.447957377365048975e+06,4.534878508128554601e+43,3.733131313131313078e+00
2.247773491388911847e+06,8.258761443879284197e+05,1.563266698683237773e+05,3.229976305645164102e+06,4.977023564332093389e+43,3.823939393939393749e+00
2.153140854407862760e+06,7.291549095215059351e+05,1.380187084930437268e+05,3.020314472422412597e+06,5.462277217684336926e+43,3.914747474747474421e+00
2.051643170649848413e+06,6.450058371593873017e+05,1.220904796123944398e+05,2.818739487421629950e+06,5.994842503189421157e+43,4.005555555555555536e+00
1.945059870949129807e+06,5.716403657462131232e+05,1.082034338280161173e+05,2.624903670523358975e+06,6.579332246575708975e+43,4.096363636363636651e+00
1.834757967257682001e+06,5.075452855342111434e+05,9.607114194312176551e+04,2.438374394735014997e+06,7.220809018385515901e+43,4.187171717171716878e+00
1.721770408394316444e+06,4.514372947064056061e+05,8.545069307955304976e+04,2.258658396180275362e+06,7.924828983539121222e+43,4.277979797979797993e+00
1.606859630376174115e+06,4.022255314214199898e+05,7.613560252394499548e+04,2.085220764321539085e+06,8.697490026177798570e+43,4.368787878787879109e+00
1.490568337789982324e+06,3.589806035078176646e+05,6.794994948702477268e+04,1.917498890784824733e+06,9.545484566618327311e+43,4.459595959595959336e+00
1.373259993343391223e+06,3.209089250443180790e+05,6.074351938132451323e+04,1.754912437769033713e+06,1.047615752789666213e+44,4.550404040404040451e+00
1.255152324344792636e+06,2.873313982374824118e+05,5.438776860223274707e+04,1.596871491184507729e+06,1.149756995397740389e+44,4.641212121212120678e+00
1.136340812362761935e+06,2.576656621269184689e+05,4.877246445902619598e+04,1.442778938948706724e+06,1.261856883066028741e+44,4.732020202020201793e+00
1.020986114594770130e+06,2.314112763221109344e+05,4.380288066587082722e+04,1.296200271582752001e+06,1.384886371393863251e+44,4.822828282828282909e+00
9.183014885515808128e+05,2.081373257446875796e+05,3.939745109489721654e+04,1.165836265391165623e+06,1.519911082952927021e+44,4.913636363636363136e+00
8.271262301010472002e+05,1.874720271422573715e+05,3.548580243631203484e+04,1.050084059679616475e+06,1.668100537200055718e+44,5.004444444444444251e+00
7.460423852968580322e+05,1.690939946234819654e+05,3.200710088776308112e+04,9.471434808081031078e+05,1.830738280295369660e+44,5.095252525252525366e+00
6.738218971246458823e+05,1.527248833244803827e+05,2.890865970446263236e+04,8.554554401535888901e+05,2.009233002565053958e+44,5.186060606060605593e+00
6.093992116742731305e+05,1.381231804697008629e+05,2.614476393485397784e+04,7.736671560788279166e+05,2.205130739903059271e+44,5.276868686868686709e+00
5.518481084287265548e+05,1.250789538485734665e+05,2.367567638153844382e+04,7.006027386588384397e+05,2.420128264794363473e+44,5.367676767676767824e+00
5.003620629662403371e+05,1.134094009301377810e+05,2.146679511164383439e+04,6.352382590080220252e+05,2.656087782946673034e+44,5.458484848484848051e+00
